RegDate,Interested Course Code,Interested Course Name,Course Category,Course Type,Area of Interest,Sub-interest
2025-01-09,NYP-WSCV02_002,Singapore Inspired Bakes,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-09,NYP-WSCV02_005,Bagel and Doughnut Creations,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-09,NYP-WSCV02_006,Decorative Cupcakes,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-09,NYP-WSCV02_011,Japanese Cakes & Pastries,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-09,NYP-WSCV07_001,Food Safety Course Level 4,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food,Career Development;Food & Beverage Management;Food Technology & Safety;Others
2025-01-08,NYP-BMDP05,Diploma in Business Practice (Accounting),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Accounting;Others
2025-01-08,NYP-BMDP05,Diploma in Business Practice (Accounting),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Accounting;Others
2025-01-08,NYP-BMDP06,Diploma in Business Practice (Supply Chain Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Supply Chain Management;Others
2025-01-08,NYP-BMDP07,Diploma in Business Practice (Hospitality & Tourism Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Hospitality & Tourism;Others
2025-01-08,NYP-BMEP01,Work -Study Post-Diploma (Specialist Diploma Human Capital Management),(WSP) Work-Study Programmes,(WSPSD) Work-Study Post-Diploma Specialist Diploma,Business,Human Resource
2025-01-08,NYP-BMSP16,Specialist Diploma in Fund Management & Administration,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Banking & Finance
2025-01-08,NYP-BMSP19,Specialist Diploma in Human Capital Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Business,Human Resource
2025-01-08,NYP-CB1038,Machine Learning in Finance,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Banking & Finance
2025-01-08,NYP-CB1265,EMPLOYMENT LAW ESSENTIALS - AVOIDING LEGAL PITFALLS IN PEOPLE MANAGEMENT,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-08,NYP-CB1265,EMPLOYMENT LAW ESSENTIALS - AVOIDING LEGAL PITFALLS IN PEOPLE MANAGEMENT,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-08,NYP-CB1295,STARTING YOUR COFFEE BUSINESS,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Entrepreneurship
2025-01-08,NYP-CB1333,Consumer Behaviour,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sales & Marketing
2025-01-08,NYP-CB1334,Digital Marketing,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sales & Marketing
2025-01-08,NYP-CB1336,Service Excellence,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Customer Relationship
2025-01-08,NYP-CB1570,How To Create A Unique Business?,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Business,Entrepreneurship;Business Management
2025-01-08,NYP-CB2003,Build Creative Winning Business Strategies,(CC) Certifiable Courses,(CCS) Critical Core Skills,Business;Business,Business Management;Entrepreneurship
2025-01-08,NYP-CB231019,Digital Marketing Analytics,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Marketing
2025-01-08,NYP-CB231024,Warehouse and Inventory Management,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Logistics
2025-01-08,NYP-CB241004,Risk Management in Sport (bizSAFE Level 2),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sports & Wellness
2025-01-08,NYP-CB241004,Risk Management in Sport (bizSAFE Level 2),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sports & Wellness
2025-01-08,NYP-CB241004,Risk Management in Sport (bizSAFE Level 2),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sports & Wellness
2025-01-08,NYP-CB241004,Risk Management in Sport (bizSAFE Level 2),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sports & Wellness
2025-01-08,NYP-CB243001,(SCTP) Certificate in Digital Marketing & Content Curation,(CC) Certifiable Courses,(SCTP) SkillsFuture Career Transition Programme,Interactive & Digital Media,Others
2025-01-08,NYP-CE1151,Introduction to Deep Learning,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology,Robotics And Automation;Artificial Intelligence
2025-01-08,NYP-CE1231,Coding for Beginners,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Infocomm Technology
2025-01-08,NYP-CE1239,Robotic Process Automation (RPA) for Beginners,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Industry 4.0;Robotics And Automation
2025-01-08,NYP-CE1354,Electric Vehicle & Charging System (Classroom & Synchronous eLearning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Automotive Technology;Electrical & Electronic Engineering
2025-01-08,NYP-CE1358,Design Thinking Workshop,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Engineering Design
2025-01-08,NYP-CE246001,AI Roadmapping for Companies and Enterprises,(NCC) Non-Certifiable Courses,(SMN) Seminars and Webinars,Technology,Artificial Intelligence
2025-01-08,NYP-CI1279,Data Visualisation Practicum,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology;Others;Technology,Data Analytics;Others;Virtualisation Technology
2025-01-08,NYP-CL0518,Creating Your Own Scented Candle,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Others;Science,Others;Life Sciences
2025-01-08,NYP-CL0901,TCM Life Skills in Sub-Health Management of Common Conditions,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Public Health & Social Services,Healthcare
2025-01-08,NYP-CL1082,Overview of Sustainable & Renewable Energy Technologies for a Smart City,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-08,NYP-CL1249,Good Manufacturing Practices (GMP): What You Need to Know,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Food;Science,Food Nutrition & Sciences;Clinical Sciences
2025-01-08,NYP-CL1301,Right Food with Right Medicine for Diabetes and Heart Patients,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-08,NYP-CX241001,Digital Photography for Working Professionals,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Arts;Business;Interactive & Digital Media,Photography;Marketing;Others
2025-01-08,NYP-DXSP02,Specialist Diploma in Visual Effects,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Interactive & Digital Media;Interactive & Digital Media;Interactive & Digital Media,Digital Art & Animation;Games Design & Development;Visual Effects
2025-01-08,NYP-DXSP05,SPECIALIST DIPLOMA IN DIGITAL MEDIA PRODUCTION,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Interactive & Digital Media;Interactive & Digital Media;Interactive & Digital Media,Digital Art & Animation;Motion Graphics;Visual Effects
2025-01-08,NYP-EG202W,Apply Advanced Materials Technology,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Engineering,Precision Engineering
2025-01-08,NYP-EG202W,Apply Advanced Materials Technology,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Engineering,Precision Engineering
2025-01-08,NYP-EGSP09,Specialist Diploma in Cloud Data Centre Technology and Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering;Technology,Others;Electrical & Electronic Engineering;Cloud Computing
2025-01-08,NYP-EGSP14,Specialist Diploma in Edge Intelligence and Embedded Systems,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering,Others;Embedded Systems
2025-01-08,NYP-EGSP18,Specialist Diploma in Biomedical & Pharmaceutical Engineering,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering;Engineering;Engineering;Engineering;Science,Others;Biomedical Manufacturing;Precision Engineering;Regulatory Compliance;Robotics And Automation;Pharmaceutical Sciences
2025-01-08,NYP-HSAF44,Advanced Diploma in Nursing (Midwifery)-ADMW1,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Public Health & Social Services,Nursing
2025-01-08,NYP-HSAP11,Advanced Diploma in Nursing (Management),(AD) Advanced Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Nursing
2025-01-08,NYP-HSCP07,CERTIFICATE IN BRIDGING STUDIES FOR ENROLLED NURSE,(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Others;Public Health & Social Services,Others;Nursing
2025-01-08,NYP-HSDP01,Diploma in Health Sciences (Paramedicine),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Paramedicine
2025-01-08,NYP-HSDP01,Diploma in Health Sciences (Paramedicine),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Paramedicine
2025-01-08,NYP-HSDP01,Diploma in Health Sciences (Paramedicine),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Paramedicine
2025-01-08,NYP-ITDP04,Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others;Technology;Technology;Engineering,Converged Infocomm Infrastructure;Others;IT Network & Infrastructure;Network Technology & Systems;Infocomm Technology
2025-01-08,NYP-ITSP08,Specialist Diploma in Cybersecurity,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Cyber Security
2025-01-08,NYP-ITSP08,Specialist Diploma in Cybersecurity,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Cyber Security
2025-01-08,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-08,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-08,NYP-ITSPA3,Post-Diploma Certificate in Enterprise Big Data Management  (part of Specialist Diploma in Business & Big Data Analytics),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Technology;Technology;Technology,Data Analytics;Digital Literacy;Artificial Intelligence
2025-01-08,NYP-JC1A21,Coaching for the Workplace,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Professional Development,Workplace Learning
2025-01-08,NYP-JC1A21,Coaching for the Workplace,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Professional Development,Workplace Learning
2025-01-08,NYP-JC1A21,Coaching for the Workplace,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Professional Development,Workplace Learning
2025-01-08,NYP-SI4013_011,"GA4 With Google Tag Manager (GTM) [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4013_012,"Master Google Ads to Turbo Charge Leads and Sales [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4024_035,Mastering the Art of Making a Powerful Sales Pitch [Classroom Facilitated],(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4024-033,"Set Up Your Sustainability E-Commerce Business [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business;Business;Business,Business Management;Others;Retail
2025-01-08,NYP-SI4025_009,"Start your business at no cost using Affiliate Marketing [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4025_010,"How to Become a Youtuber and Get Paid [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4025_011,"Generate Leads for Free & Maximise Your Sales Conversions [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4025_011,"Generate Leads for Free & Maximise Your Sales Conversions [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI4025_017,Digital Entrepreneurship in the Era of Cross-border e-Commerce: Mastering Selling Strategies on Amazon.com [Classroom Facilitated],(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business;Business,Retail;Ecommerce
2025-01-08,NYP-SI4031_005,Getting Started on Shopee (Onboarding),(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-08,NYP-SI7025_014,(SF Series) Personal Online Branding [Classroom Facilitated],(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Retail
2025-01-08,NYP-WSCA05_008,Prepare Singapore Heritage Cuisine,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Food Technology & Safety;Others
2025-01-08,NYP-WSCD11_002,Participate in negotiations,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Food Technology & Safety;Others
2025-01-08,NYP-WSQA04_010,PWM-Retail: Customer Experience Innovation (SF - Supervisor),(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Business,Retail
2025-01-08,NYP-WSQA04_010,PWM-Retail: Customer Experience Innovation (SF - Supervisor),(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Business,Retail
2025-01-08,NYP-WSQA04_010,PWM-Retail: Customer Experience Innovation (SF - Supervisor),(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Business,Retail
2025-01-08,NYP-WSQBC1_001,"Be a Collaborative Influencer [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CCS) Critical Core Skills,Business,Retail
2025-01-07,NYP-ASSP01,Specialist Diploma in Environmental Management & Applied Water Technology,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Engineering,Process Engineering
2025-01-07,NYP-BMDP06,Diploma in Business Practice (Supply Chain Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Supply Chain Management;Others
2025-01-07,NYP-BMDP06,Diploma in Business Practice (Supply Chain Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Supply Chain Management;Others
2025-01-07,NYP-CB1040,Digital Health Checks on Public Listed Companies: A Basic How To.,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Banking & Finance
2025-01-07,NYP-CB1216,FINANCIAL ANALYTICS WITH PYTHON,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-07,NYP-CB1216,FINANCIAL ANALYTICS WITH PYTHON,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-07,NYP-CB1334,Digital Marketing,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sales & Marketing
2025-01-07,NYP-CB1573,INTRODUCTION TO SUSTAINABILITY FOR HOSPITALITY BUSINESSES,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Hospitality & Tourism
2025-01-07,NYP-CB1579,AI for Business Communication,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Technology,Sales & Marketing;Artificial Intelligence
2025-01-07,NYP-CB231003,Introduction to Business Analytics: Making Data-driven Decisions for Business Executives,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Business Management
2025-01-07,NYP-CB231019,Digital Marketing Analytics,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Marketing
2025-01-07,NYP-CB231022,International Trade and Freight Management,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Logistics
2025-01-07,NYP-CB231022,International Trade and Freight Management,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Logistics
2025-01-07,NYP-CB231024,Warehouse and Inventory Management,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Logistics
2025-01-07,NYP-CB241004,Risk Management in Sport (bizSAFE Level 2),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sports & Wellness
2025-01-07,NYP-CB241006,Hospitality Industry Analytics,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Hospitality & Tourism
2025-01-07,NYP-CB243001,(SCTP) Certificate in Digital Marketing & Content Curation,(CC) Certifiable Courses,(SCTP) SkillsFuture Career Transition Programme,Interactive & Digital Media,Others
2025-01-07,NYP-CE1362,Python - a First Look,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Infocomm Technology
2025-01-07,NYP-CE2009,Simple Ways for Beginners to Learn Coding (Synchronous E-learning),(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering;Technology,Infocomm Technology;Programming & Coding
2025-01-07,NYP-CE2010,Using Python for Data Analysis,(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering;Technology,Infocomm Technology;Data Analytics
2025-01-07,NYP-CE2011,Using Python for Data Analysis (Synchronous E-learning),(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering;Technology,Infocomm Technology;Data Analytics
2025-01-07,NYP-CE2011,Using Python for Data Analysis (Synchronous E-learning),(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering;Technology,Infocomm Technology;Data Analytics
2025-01-07,NYP-CE231014,9-Day Precision Engineering Assessment & Reskilling Lab (PEARL) CNC Milling,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Precision Engineering
2025-01-07,NYP-CE241003,Smart Connected System Design and Implementation,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Infocomm Technology
2025-01-07,NYP-CE245005,AI Practitioner Preparatory Course,(CP) Customised Programme,(NCCC) Non-Certifiable customised Courses,Technology,Artificial Intelligence
2025-01-07,NYP-CH1348,Phlebotomy Short Course,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Public Health & Social Services;Public Health & Social Services,Healthcare;Others
2025-01-07,NYP-CI1274,Learning to code,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology,Programming & Coding
2025-01-07,NYP-CI231002,Data Management & Analysis,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology,Data Analytics
2025-01-07,NYP-CI231005,The International Council of E-Commerce Consultants Certified Cloud Security Engineer (EC-Council CCSE),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology,Infocomm Technology;Cyber Security
2025-01-07,NYP-CI241002,Mastering Power Apps: From Beginner to Pro,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology;Technology,Software Development & Quality;Programming & Coding
2025-01-07,NYP-CK2019,Emailing Made Easy,(CC) Certifiable Courses,(CCS) Critical Core Skills,Business,Entrepreneurship
2025-01-07,NYP-CL0518,Creating Your Own Scented Candle,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Others;Science,Others;Life Sciences
2025-01-07,NYP-CLDP01,Diploma in Applied Science (Food Technology),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others,Others
2025-01-07,NYP-CX1107,AERIAL DRONE PHOTOGRAPHY,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Interactive & Digital Media,Digital Media
2025-01-07,NYP-EGDP04,Diploma In Engineering (Aerospace Manufacturing),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others,Aeronautical & Aerospace;Others
2025-01-07,NYP-EGDP04,Diploma In Engineering (Aerospace Manufacturing),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others,Aeronautical & Aerospace;Others
2025-01-07,NYP-EGDP04,Diploma In Engineering (Aerospace Manufacturing),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others,Aeronautical & Aerospace;Others
2025-01-07,NYP-EGEP04,Work-Study Post-Diploma (Specialist Diploma in Biomedical and Pharmaceutical Engineering),(WSP) Work-Study Programmes,(WSPSD) Work-Study Post-Diploma Specialist Diploma,Others;Engineering;Engineering;Engineering;Engineering;Science,Others;Biomedical Manufacturing;Precision Engineering;Regulatory Compliance;Robotics And Automation;Pharmaceutical Sciences
2025-01-07,NYP-EGQP06,WSQ Diploma in Precision Engineering (Master Craftsman Skills),(CC) Certifiable Courses,(WSQFQ) Workforce Skills Qualification (WSQ) Full Qualification,Engineering,Precision Engineering
2025-01-07,NYP-EGSP09,Specialist Diploma in Cloud Data Centre Technology and Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering;Technology,Others;Electrical & Electronic Engineering;Cloud Computing
2025-01-07,NYP-EGSP09,Specialist Diploma in Cloud Data Centre Technology and Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering;Technology,Others;Electrical & Electronic Engineering;Cloud Computing
2025-01-07,NYP-EGSP13,Specialist Diploma in Cloud Computing and Intelligent Services Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Technology,Others;Cloud Computing
2025-01-07,NYP-EGSP15,Specialist Diploma in Cloud Security and IOT Cloud Services,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Engineering;Technology,Industry 4.0;Cloud Computing
2025-01-07,NYP-EGSP19,Specialist Diploma in Robotics and Automation Systems Design,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Engineering,Robotics And Automation
2025-01-07,NYP-EGSP19,Specialist Diploma in Robotics and Automation Systems Design,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Engineering,Robotics And Automation
2025-01-07,NYP-EGSP19,Specialist Diploma in Robotics and Automation Systems Design,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Engineering,Robotics And Automation
2025-01-07,NYP-EGSPA4,Post Diploma Certificate in Sustainability Reporting and ESG Data Management (part of Specialist Diploma in Carbon Management for Sustainability Reporting),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Engineering;Engineering;Engineering;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Business,Automotive Technology;Infocomm Technology;Wireless Technology;Artificial Intelligence;Blockchain;Cloud Computing;Cyber Security;Data Analytics;Digital Literacy;Geospatial;IT Automation;IT Network & Infrastructure;Mobile Computing;Network Technology & Systems;Others;Programming & Coding;Software Development & Quality;Virtualisation Technology;Supply Chain Management
2025-01-07,NYP-HSAF39,Advanced Diploma in Nursing (Critical Care)-ADCC1,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Public Health & Social Services,Nursing
2025-01-07,NYP-HSAF39,Advanced Diploma in Nursing (Critical Care)-ADCC1,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Public Health & Social Services,Nursing
2025-01-07,NYP-HSDP01,Diploma in Health Sciences (Paramedicine),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Paramedicine
2025-01-07,NYP-HSSP09,Specialist Diploma in Nursing (Diabetes Management & Education),(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Nursing
2025-01-07,NYP-ITLP01,Work-Study Certificate (Leading to Diploma in Infocomm and Digital Media (IT Network and System Administration))-DINSA2,(WSP) Work-Study Programmes,(WSC2PTD) Work-Study Certificates Leading To Part-Time Diploma,Engineering;Engineering;Technology;Others;Technology,Converged Infocomm Infrastructure;Infocomm Technology;IT Network & Infrastructure;Others;Network Technology & Systems
2025-01-07,NYP-ITSP08,Specialist Diploma in Cybersecurity,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Cyber Security
2025-01-07,NYP-ITSP09,Specialist Diploma in Business & Big Data Analytics,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Technology;Technology,Artificial Intelligence;Data Analytics;Digital Literacy
2025-01-07,NYP-ITSPA1,Post-Diploma Certificate in Business Analytics (part of Specialist Diploma in Business & Big Data Analytics),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Technology;Technology;Technology,Data Analytics;Digital Literacy;Artificial Intelligence
2025-01-07,NYP-NYP-CB1264,Advanced HR Analytics – Using Data Modelling to Improve Human Capital Performance,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology,Data Analytics
2025-01-07,NYP-SI4013_013,"Digital Marketing to Drive Business Growth and ROI [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-07,NYP-SI4025_010,"How to Become a Youtuber and Get Paid [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business,Retail
2025-01-07,NYP-SI4059_002,Generative AI Content Creation: Super Sprint Your Sales and Marketing Performance [Practical],(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business;Business;Technology,Retail;Sales & Marketing;Artificial Intelligence
2025-01-07,NYP-SI7025_013,Introduction to Digital Marketing [Classroom Facilitated],(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Retail
2025-01-07,NYP-SI7026_002,Basics in Content Generation [Classroom Facilitated],(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Retail
2025-01-07,NYP-WSCD11_008,Develop marketing campaigns,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Food Technology & Safety;Others
2025-01-07,NYP-WSCV01_014,Traditional Rice Dumplings,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-07,NYP-WSCV01_016,Savoury Korean Delights,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-06,NYP-ASAP01,Advanced Diploma in Pharmaceutical Sciences,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Science,Pharmaceutical Sciences
2025-01-06,NYP-BMEP01,Work -Study Post-Diploma (Specialist Diploma Human Capital Management),(WSP) Work-Study Programmes,(WSPSD) Work-Study Post-Diploma Specialist Diploma,Business,Human Resource
2025-01-06,NYP-BMEP01,Work -Study Post-Diploma (Specialist Diploma Human Capital Management),(WSP) Work-Study Programmes,(WSPSD) Work-Study Post-Diploma Specialist Diploma,Business,Human Resource
2025-01-06,NYP-BMLP02,Work-Study Certificate (leading to Diploma in Business Practice (Accounting)),(WSP) Work-Study Programmes,(WSC2PTD) Work-Study Certificates Leading To Part-Time Diploma,Others,Others
2025-01-06,NYP-BMSP13,Specialist Diploma in Human Resource Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Human Resource
2025-01-06,NYP-BMSP13,Specialist Diploma in Human Resource Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Human Resource
